"","geo_merge","cases_final","case_rate_final","adj_case_rate_final","deaths_final","death_rate_final","adj_death_rate_final","population"
"171","Los Angeles - Pico-Union",1673,3998,4015,88,210,248,41842
"172","Los Angeles - Playa Del Rey",27,845,1087,0,0,0,3196
"173","Los Angeles - Playa Vista",125,1142,1138,0,0,0,10947
"174","Los Angeles - Porter Ranch",326,916,971,6,17,10,35588
"175","Los Angeles - Rancho Park",81,1235,1432,1,15,11,6560
"176","Los Angeles - Regent Square",27,971,949,0,0,0,2780
"177","Los Angeles - Reseda",1958,2556,2480,75,98,89,76617
"178","Los Angeles - Reseda Ranch",106,2286,2156,0,0,0,4636
"179","Los Angeles - Reynier Village",37,875,932,0,0,0,4228
"180","Los Angeles - San Pedro",1841,2359,2348,26,33,31,78038
"181","Los Angeles - Shadow Hills",56,1261,1449,0,0,0,4442
"182","Los Angeles - Sherman Oaks",939,1076,1147,19,22,19,87254
"183","Los Angeles - Silverlake",587,1332,1341,17,39,34,44083
"184","Los Angeles - South Carthay",106,1000,1194,2,19,12,10595
"185","Los Angeles - South Park",1882,4958,5035,27,71,107,37961
"186","Los Angeles - St Elmo Village",130,2836,3028,8,175,264,4584
"187","Los Angeles - Studio City",226,1007,1119,11,49,42,22440
"188","Los Angeles - Sun Valley",1412,2690,2619,22,42,43,52483
"189","Los Angeles - Sunland",407,1994,1904,27,132,94,20408
"190","Los Angeles - Sycamore Square",5,773,783,0,0,0,647
"191","Los Angeles - Sylmar",2950,3580,3554,77,93,113,82398
"192","Los Angeles - Tarzana",561,1817,1676,37,120,75,30876
"193","Los Angeles - Temple-Beaudry",1146,2903,2806,26,66,75,39482
"194","Los Angeles - Thai Town",147,1499,1440,0,0,0,9809
"195","Los Angeles - Toluca Lake",88,1011,1217,0,0,0,8704
"196","Los Angeles - Toluca Terrace",18,1378,1459,1,77,72,1306
"197","Los Angeles - Toluca Woods",18,969,879,0,0,0,1858
"198","Los Angeles - Tujunga",423,1521,1489,14,50,41,27810
"199","Los Angeles - University Hills",50,1458,1463,1,29,19,3429
"200","Los Angeles - University Park",886,3227,3770,19,69,125,27456
"201","Los Angeles - Valley Glen",551,1836,1780,19,63,65,30016
"202","Los Angeles - Valley Village",465,1881,1839,25,101,85,24720
"203","Los Angeles - Van Nuys",2631,2823,2841,72,77,95,93194
"204","Los Angeles - Venice",264,779,992,3,9,9,33885
"205","Los Angeles - Vermont Knolls",675,3924,3868,13,76,93,17200
"206","Los Angeles - Vermont Square",311,4062,4020,3,39,36,7657
"207","Los Angeles - Vermont Vista",1766,4288,4371,24,58,87,41186
"208","Los Angeles - Vernon Central",2785,5356,5465,39,75,111,51998
"209","Los Angeles - Victoria Park",204,2429,2353,3,36,29,8399
"210","Los Angeles - View Heights",42,1137,1121,2,54,42,3694
"211","Los Angeles - Watts",1790,4195,4390,23,54,97,42674
"212","Los Angeles - Wellington Square",110,2238,2232,0,0,0,4915
"213","Los Angeles - West Adams",817,2957,2895,36,130,132,27630
"214","Los Angeles - West Hills",471,1162,1173,30,74,45,40545
"215","Los Angeles - West Los Angeles",467,1241,1236,15,40,42,37636
"216","Los Angeles - West Vernon",2117,3946,3937,44,82,106,53644
"217","Los Angeles - Westchester",385,746,706,15,29,26,51603
"218","Los Angeles - Westlake",2248,3787,3847,138,232,269,59355
"219","Los Angeles - Westwood",320,591,549,6,11,10,54109
"220","Los Angeles - Wholesale District",2224,6156,5346,25,69,87,36129
"221","Los Angeles - Wilmington",1625,2877,2876,15,27,37,56487
"222","Los Angeles - Wilshire Center",1025,2043,1990,33,66,65,50170
"223","Los Angeles - Winnetka",1119,2161,2069,16,31,29,51786
"224","Los Angeles - Woodland Hills",801,1177,1164,28,41,26,68055
"225","Unincorporated - Acton",61,765,853,2,25,18,7971
"226","Unincorporated - Agua Dulce",25,601,648,0,0,0,4158
"227","Unincorporated - Altadena",626,1435,1490,13,30,23,43620
"228","Unincorporated - Anaverde",13,862,1013,0,0,0,1508
"229","Unincorporated - Angeles National Forest",5,402,411,0,0,0,1245
"230","Unincorporated - Arcadia",81,1015,1034,2,25,18,7981
"231","Unincorporated - Athens Village",212,4329,4383,9,184,186,4897
"232","Unincorporated - Athens-Westmont",1411,3325,3341,25,59,64,42442
"233","Unincorporated - Avocado Heights",262,3867,3817,2,30,34,6775
"234","Unincorporated - Azusa",449,2820,2736,3,19,26,15923
"235","Unincorporated - Bassett",584,3941,3890,9,61,63,14817
"236","Unincorporated - Bouquet Canyon",6,559,800,1,93,82,1073
"237","Unincorporated - Bradbury",4,3704,303,1,926,255,108
"238","Unincorporated - Canyon Country",117,1514,1596,0,0,0,7728
"239","Unincorporated - Castaic",1904,7002,6379,5,18,17,27191
"240","Unincorporated - Cerritos",15,2555,2529,0,0,0,587
"241","Unincorporated - Claremont",22,3134,4106,1,142,73,702
"242","Unincorporated - Covina",390,2319,2230,6,36,33,16819
"243","Unincorporated - Covina (Charter Oak)",278,2115,2099,1,8,10,13144
"244","Unincorporated - Del Aire",70,1593,1570,2,46,44,4393
"245","Unincorporated - Del Rey",3,943,1312,0,0,0,318
"246","Unincorporated - Del Sur",10,414,474,1,41,20,2415
"247","Unincorporated - Desert View Highlands",42,1685,1596,1,40,24,2493
"248","Unincorporated - Duarte",124,2800,2778,4,90,114,4428
"249","Unincorporated - East Covina",4,1216,1379,0,0,0,329
"250","Unincorporated - East La Mirada",94,1776,1757,0,0,0,5292
"251","Unincorporated - East Los Angeles",5753,4593,4595,91,73,84,125269
"252","Unincorporated - East Pasadena",70,1093,1033,1,16,9,6403
"253","Unincorporated - East Rancho Dominguez",611,3991,3975,11,72,81,15308
"254","Unincorporated - East Whittier",75,1413,1396,0,0,0,5306
"255","Unincorporated - El Camino Village",139,1581,1578,3,34,24,8791
"256","Unincorporated - El Monte",6,4138,6520,0,0,0,145
"257","Unincorporated - Elizabeth Lake",6,361,406,0,0,0,1661
"258","Unincorporated - Florence-Firestone",3179,4913,4967,43,66,84,64705
"259","Unincorporated - Glendora",12,1818,2094,0,0,0,660
"260","Unincorporated - Hacienda Heights",940,1681,1668,12,21,15,55926
"261","Unincorporated - Hawthorne",58,2307,2203,0,0,0,2514
"262","Unincorporated - Hi Vista",6,546,585,0,0,0,1098
"263","Unincorporated - Kagel/Lopez Canyons",30,2125,2673,1,71,113,1412
"264","Unincorporated - La Crescenta-Montrose",160,808,825,2,10,5,19801
"265","Unincorporated - La Rambla",75,3614,2911,12,578,381,2075
"266","Unincorporated - La Verne",33,1618,1976,0,0,0,2040
"267","Unincorporated - Ladera Heights",86,1216,1175,3,42,19,7071
"268","Unincorporated - Lake Hughes",2,299,328,0,0,0,668
"269","Unincorporated - Lake Los Angeles",194,1493,1492,4,31,44,12994
"270","Unincorporated - Lake Manor",24,1461,1547,0,0,0,1643
"271","Unincorporated - Lennox",648,2875,2862,4,18,34,22542
"272","Unincorporated - Leona Valley",17,971,999,0,0,0,1751
"273","Unincorporated - Littlerock",78,1940,2006,0,0,0,4021
"274","Unincorporated - Littlerock/Juniper Hills",8,617,852,0,0,0,1297
"275","Unincorporated - Littlerock/Pearblossom",79,2214,2302,0,0,0,3569
"276","Unincorporated - Llano",3,342,355,0,0,0,877
"277","Unincorporated - Marina del Rey",65,691,533,1,11,13,9411
"278","Unincorporated - Monrovia",75,1932,2016,0,0,0,3881
"279","Unincorporated - Newhall",6,2727,2283,0,0,0,220
"280","Unincorporated - North Lancaster",18,1502,1967,0,0,0,1198
"281","Unincorporated - North Whittier",188,2249,2219,9,108,95,8360
"282","Unincorporated - Northeast San Gabriel",309,1286,1326,8,33,29,24036
"283","Unincorporated - Palmdale",21,2494,2719,0,0,0,842
"284","Unincorporated - Palos Verdes Peninsula",3,483,729,0,0,0,621
"285","Unincorporated - Pearblossom/Llano",19,971,863,1,51,20,1956
"286","Unincorporated - Pellissier Village",25,4039,3983,0,0,0,619
"287","Unincorporated - Pomona",15,774,1941,1,52,86,1938
"288","Unincorporated - Quartz Hill",146,1131,1082,11,85,63,12906
"289","Unincorporated - Rancho Dominguez",71,2668,2618,2,75,35,2661
"290","Unincorporated - Roosevelt",8,859,819,0,0,0,931
"291","Unincorporated - Rosewood",23,1788,2080,0,0,0,1286
"292","Unincorporated - Rosewood/East Gardena",14,1174,1074,1,84,40,1193
"293","Unincorporated - Rosewood/West Rancho Dominguez",89,2648,2699,0,0,0,3361
"294","Unincorporated - Rowland Heights",596,1168,1173,12,24,17,51022
"295","Unincorporated - San Jose Hills",647,3200,3162,9,45,46,20221
"296","Unincorporated - San Pasqual",9,442,468,0,0,0,2035
"297","Unincorporated - Sand Canyon",6,1948,5185,0,0,0,308
"298","Unincorporated - Santa Catalina Island",23,8614,10412,0,0,0,267
"299","Unincorporated - Santa Monica Mountains",101,542,630,1,5,2,18621
"300","Unincorporated - Saugus",26,16774,16193,0,0,0,155
"301","Unincorporated - Saugus/Canyon Country",1,281,538,0,0,0,356
"302","Unincorporated - South Antelope Valley",2,440,382,0,0,0,455
"303","Unincorporated - South El Monte",76,4234,4057,0,0,0,1795
"304","Unincorporated - South San Gabriel",167,1887,1809,5,57,40,8848
"305","Unincorporated - South Whittier",1574,2658,2582,28,47,51,59222
"306","Unincorporated - Southeast Antelope Valley",13,1665,1845,0,0,0,781
"307","Unincorporated - Stevenson Ranch",154,735,732,2,10,12,20966
"308","Unincorporated - Sun Village",149,2469,2579,1,17,11,6036
"309","Unincorporated - Sunrise Village",49,3781,4125,0,0,0,1296
"310","Unincorporated - Twin Lakes/Oat Mountain",11,663,671,1,60,78,1658
"311","Unincorporated - Val Verde",60,1813,1702,1,30,50,3309
"312","Unincorporated - Valencia",41,1335,2254,1,33,258,3072
"313","Unincorporated - Valinda",701,2999,2936,7,30,32,23371
"314","Unincorporated - View Park/Windsor Hills",137,1177,1232,3,26,10,11635
"315","Unincorporated - Walnut Park",651,4033,3994,11,68,79,16143
"316","Unincorporated - West Antelope Valley",5,331,322,0,0,0,1511
"317","Unincorporated - West Carson",391,1770,1570,33,149,89,22086
"318","Unincorporated - West LA",42,4412,4285,2,210,67,952
"319","Unincorporated - West Puente Valley",351,3569,3503,2,20,23,9835
"320","Unincorporated - West Rancho Dominguez",20,1472,1397,3,221,184,1359
"321","Unincorporated - West Whittier/Los Nietos",894,3320,3248,12,45,44,26925
"322","Unincorporated - Westfield/Academy Hills",7,538,746,0,0,0,1300
"323","Unincorporated - Westhills",9,1073,1596,0,0,0,839
"324","Unincorporated - White Fence Farms",42,1140,1226,0,0,0,3683
"325","Unincorporated - Whittier",58,1533,1471,1,26,11,3784
"326","Unincorporated - Willowbrook",1343,3847,3897,18,52,60,34913
"327","Unincorporated - Wiseburn",112,1858,1748,1,17,21,6027
"328","Unincorporated - East Lancaster",0,0,0,0,0,0,114
"329","Unincorporated - Franklin Canyon",0,0,0,0,0,0,12
"330","Unincorporated - Harbor Gateway",0,0,0,0,0,0,1
"331","Unincorporated - La Habra Heights",0,0,0,0,0,0,676
"332","Unincorporated - Placerita Canyon",0,0,0,0,0,0,460
"333","Unincorporated - Whittier Narrows",0,0,0,0,0,0,12
