"","geo_merge","cases_final","case_rate_final","adj_case_rate_final","deaths_final","death_rate_final","adj_death_rate_final","population"
"247","Unincorporated - Desert View Highlands",38,1524,1454,1,40,24,2493
"248","Unincorporated - Duarte",109,2462,2441,2,45,52,4428
"249","Unincorporated - East Covina",4,1216,1379,0,0,0,329
"250","Unincorporated - East La Mirada",85,1606,1614,0,0,0,5292
"251","Unincorporated - East Los Angeles",5417,4324,4325,82,65,76,125269
"252","Unincorporated - East Pasadena",63,984,941,1,16,9,6403
"253","Unincorporated - East Rancho Dominguez",561,3665,3619,10,65,75,15308
"254","Unincorporated - East Whittier",68,1282,1275,0,0,0,5306
"255","Unincorporated - El Camino Village",131,1490,1485,3,34,24,8791
"256","Unincorporated - El Monte",6,4138,6162,0,0,0,145
"257","Unincorporated - Elizabeth Lake",6,361,406,0,0,0,1661
"258","Unincorporated - Florence-Firestone",2961,4576,4625,40,62,77,64705
"259","Unincorporated - Glendora",9,1364,1690,0,0,0,660
"260","Unincorporated - Hacienda Heights",857,1532,1519,9,16,11,55926
"261","Unincorporated - Hawthorne",54,2148,2038,0,0,0,2514
"262","Unincorporated - Hi Vista",5,455,528,0,0,0,1098
"263","Unincorporated - Kagel/Lopez Canyons",29,2054,2633,1,71,113,1412
"264","Unincorporated - La Crescenta-Montrose",138,697,705,1,5,3,19801
"265","Unincorporated - La Rambla",75,3614,2911,11,530,348,2075
"266","Unincorporated - La Verne",28,1373,1573,0,0,0,2040
"267","Unincorporated - Ladera Heights",81,1146,1108,3,42,19,7071
"268","Unincorporated - Lake Hughes",2,299,328,0,0,0,668
"269","Unincorporated - Lake Los Angeles",186,1431,1417,3,23,34,12994
"270","Unincorporated - Lake Manor",21,1278,1315,0,0,0,1643
"271","Unincorporated - Lennox",606,2688,2684,4,18,34,22542
"272","Unincorporated - Leona Valley",16,914,979,0,0,0,1751
"273","Unincorporated - Littlerock",65,1617,1682,0,0,0,4021
"274","Unincorporated - Littlerock/Juniper Hills",7,540,766,0,0,0,1297
"275","Unincorporated - Littlerock/Pearblossom",72,2017,2072,0,0,0,3569
"276","Unincorporated - Llano",3,342,355,0,0,0,877
"277","Unincorporated - Marina del Rey",64,680,527,1,11,13,9411
"278","Unincorporated - Monrovia",69,1778,1871,0,0,0,3881
"279","Unincorporated - Newhall",6,2727,2283,0,0,0,220
"280","Unincorporated - North Lancaster",18,1502,1967,0,0,0,1198
"281","Unincorporated - North Whittier",174,2081,2067,9,108,95,8360
"282","Unincorporated - Northeast San Gabriel",290,1207,1243,8,33,29,24036
"283","Unincorporated - Palmdale",20,2375,2606,0,0,0,842
"284","Unincorporated - Palos Verdes Peninsula",3,483,729,0,0,0,621
"285","Unincorporated - Pearblossom/Llano",19,971,863,1,51,20,1956
"286","Unincorporated - Pellissier Village",24,3877,3840,0,0,0,619
"287","Unincorporated - Pomona",11,568,1227,1,52,86,1938
"288","Unincorporated - Quartz Hill",135,1046,999,10,77,58,12906
"289","Unincorporated - Rancho Dominguez",68,2555,2505,2,75,35,2661
"290","Unincorporated - Roosevelt",7,752,717,0,0,0,931
"291","Unincorporated - Rosewood",16,1244,1527,0,0,0,1286
"292","Unincorporated - Rosewood/East Gardena",14,1174,1074,0,0,0,1193
"293","Unincorporated - Rosewood/West Rancho Dominguez",80,2380,2445,0,0,0,3361
"294","Unincorporated - Rowland Heights",569,1115,1120,11,22,15,51022
"295","Unincorporated - San Jose Hills",618,3056,3023,8,40,39,20221
"296","Unincorporated - San Pasqual",9,442,468,0,0,0,2035
"297","Unincorporated - Sand Canyon",5,1623,4904,0,0,0,308
"298","Unincorporated - Santa Catalina Island",18,6742,9453,0,0,0,267
"299","Unincorporated - Santa Monica Mountains",97,521,610,1,5,2,18621
"300","Unincorporated - Saugus",22,14194,14290,0,0,0,155
"301","Unincorporated - Saugus/Canyon Country",1,281,538,0,0,0,356
"302","Unincorporated - South Antelope Valley",1,220,256,0,0,0,455
"303","Unincorporated - South El Monte",73,4067,3902,0,0,0,1795
"304","Unincorporated - South San Gabriel",161,1820,1744,5,57,40,8848
"305","Unincorporated - South Whittier",1456,2459,2377,26,44,48,59222
"306","Unincorporated - Southeast Antelope Valley",13,1665,1845,0,0,0,781
"307","Unincorporated - Stevenson Ranch",140,668,665,2,10,12,20966
"308","Unincorporated - Sun Village",132,2187,2286,1,17,11,6036
"309","Unincorporated - Sunrise Village",40,3086,3311,0,0,0,1296
"310","Unincorporated - Twin Lakes/Oat Mountain",10,603,623,1,60,78,1658
"311","Unincorporated - Val Verde",55,1662,1568,1,30,50,3309
"312","Unincorporated - Valencia",39,1270,2094,1,33,258,3072
"313","Unincorporated - Valinda",648,2773,2712,7,30,32,23371
"314","Unincorporated - View Park/Windsor Hills",131,1126,1192,3,26,10,11635
"315","Unincorporated - Walnut Park",595,3686,3640,10,62,69,16143
"316","Unincorporated - West Antelope Valley",4,265,284,0,0,0,1511
"317","Unincorporated - West Carson",333,1508,1350,27,122,73,22086
"318","Unincorporated - West LA",41,4307,4097,2,210,67,952
"319","Unincorporated - West Puente Valley",330,3355,3303,2,20,23,9835
"320","Unincorporated - West Rancho Dominguez",20,1472,1397,3,221,184,1359
"321","Unincorporated - West Whittier/Los Nietos",840,3120,3046,11,41,41,26925
"322","Unincorporated - Westfield/Academy Hills",4,308,402,0,0,0,1300
"323","Unincorporated - Westhills",9,1073,1596,0,0,0,839
"324","Unincorporated - White Fence Farms",38,1032,1097,0,0,0,3683
"325","Unincorporated - Whittier",54,1427,1346,1,26,11,3784
"326","Unincorporated - Willowbrook",1261,3612,3647,17,49,57,34913
"327","Unincorporated - Wiseburn",107,1775,1672,1,17,21,6027
"328","Unincorporated - East Lancaster",0,0,0,0,0,0,114
"329","Unincorporated - Harbor Gateway",0,0,0,0,0,0,1
"330","Unincorporated - La Habra Heights",0,0,0,0,0,0,676
"331","Unincorporated - Placerita Canyon",0,0,0,0,0,0,460
"332","Unincorporated - Whittier Narrows",0,0,0,0,0,0,12
