"","geo_merge","cases_final","case_rate_final","adj_case_rate_final","deaths_final","death_rate_final","adj_death_rate_final","population"
"132","Los Angeles - Harbor Gateway",927,2126,2075,13,30,33,43600
"133","Los Angeles - Harbor Pines",18,747,850,0,0,0,2409
"134","Los Angeles - Harvard Heights",534,2961,2895,23,128,150,18035
"135","Los Angeles - Harvard Park",1526,4023,3983,20,53,57,37935
"136","Los Angeles - Highland Park",1028,2124,2079,19,39,43,48391
"137","Los Angeles - Historic Filipinotown",406,2927,2734,14,101,91,13870
"138","Los Angeles - Hollywood",1098,1609,1458,13,19,21,68254
"139","Los Angeles - Hollywood Hills",264,897,992,7,24,22,29434
"140","Los Angeles - Hyde Park",751,2631,2587,14,49,41,28541
"141","Los Angeles - Jefferson Park",241,2985,2961,0,0,0,8073
"142","Los Angeles - Koreatown",1094,2116,2052,27,52,51,51693
"143","Los Angeles - Lafayette Square",79,1733,1701,3,66,64,4559
"144","Los Angeles - Lake Balboa",925,2192,2181,19,45,48,42206
"145","Los Angeles - Lakeview Terrace",510,3883,3859,22,168,190,13133
"146","Los Angeles - Leimert Park",282,1851,1828,8,53,36,15235
"147","Los Angeles - Lincoln Heights",1007,3089,3017,47,144,122,32597
"148","Los Angeles - Little Armenia",380,4735,4092,51,636,517,8025
"149","Los Angeles - Little Bangladesh",465,1641,1633,5,18,19,28343
"150","Los Angeles - Little Tokyo",70,2234,2856,2,64,21,3133
"151","Los Angeles - Longwood",108,2509,2430,0,0,0,4304
"152","Los Angeles - Los Feliz",189,875,934,2,9,6,21608
"153","Los Angeles - Manchester Square",189,2214,2221,4,47,35,8536
"154","Los Angeles - Mandeville Canyon",22,704,975,0,0,0,3124
"155","Los Angeles - Mar Vista",298,702,713,6,14,12,42471
"156","Los Angeles - Marina Peninsula",30,688,733,0,0,0,4360
"157","Los Angeles - Melrose",1784,2296,2255,69,89,90,77696
"158","Los Angeles - Mid-city",269,1790,1747,23,153,139,15030
"159","Los Angeles - Miracle Mile",158,879,831,6,33,33,17985
"160","Los Angeles - Mission Hills",704,2918,2803,27,112,93,24124
"161","Los Angeles - Mt. Washington",517,2141,2095,15,62,57,24145
"162","Los Angeles - North Hills",1686,2738,2694,44,71,81,61575
"163","Los Angeles - North Hollywood",3443,2274,2180,62,41,46,151421
"164","Los Angeles - Northridge",1290,1848,1803,42,60,49,69797
"165","Los Angeles - Pacific Palisades",117,550,626,4,19,9,21291
"166","Los Angeles - Pacoima",3167,4114,4112,43,56,75,76979
"167","Los Angeles - Palisades Highlands",23,598,702,0,0,0,3846
"168","Los Angeles - Palms",510,1162,1285,29,66,89,43877
"169","Los Angeles - Panorama City",2676,3556,3570,87,116,154,75250
"170","Los Angeles - Park La Brea",94,692,589,1,7,8,13580
"171","Los Angeles - Pico-Union",1696,4053,4067,91,217,256,41842
"172","Los Angeles - Playa Del Rey",27,845,1087,0,0,0,3196
"173","Los Angeles - Playa Vista",129,1178,1199,0,0,0,10947
"174","Los Angeles - Porter Ranch",336,944,1006,6,17,10,35588
"175","Los Angeles - Rancho Park",83,1265,1454,1,15,11,6560
"176","Los Angeles - Regent Square",27,971,949,0,0,0,2780
"177","Los Angeles - Reseda",2013,2627,2552,76,99,91,76617
"178","Los Angeles - Reseda Ranch",107,2308,2179,0,0,0,4636
"179","Los Angeles - Reynier Village",39,922,987,0,0,0,4228
"180","Los Angeles - San Pedro",1869,2395,2387,26,33,31,78038
"181","Los Angeles - Shadow Hills",57,1283,1475,0,0,0,4442
"182","Los Angeles - Sherman Oaks",963,1104,1179,24,28,23,87254
"183","Los Angeles - Silverlake",591,1341,1347,17,39,34,44083
"184","Los Angeles - South Carthay",107,1010,1210,2,19,12,10595
"185","Los Angeles - South Park",1932,5089,5158,27,71,107,37961
"186","Los Angeles - St Elmo Village",132,2880,3067,8,175,264,4584
"187","Los Angeles - Studio City",230,1025,1143,11,49,42,22440
"188","Los Angeles - Sun Valley",1458,2778,2711,25,48,48,52483
"189","Los Angeles - Sunland",416,2038,1945,28,137,97,20408
"190","Los Angeles - Sycamore Square",5,773,783,0,0,0,647
"191","Los Angeles - Sylmar",3015,3659,3630,79,96,116,82398
"192","Los Angeles - Tarzana",575,1862,1727,37,120,75,30876
"193","Los Angeles - Temple-Beaudry",1179,2986,2889,26,66,75,39482
"194","Los Angeles - Thai Town",149,1519,1456,0,0,0,9809
"195","Los Angeles - Toluca Lake",91,1046,1256,0,0,0,8704
"196","Los Angeles - Toluca Terrace",21,1608,1615,1,77,72,1306
"197","Los Angeles - Toluca Woods",18,969,879,0,0,0,1858
"198","Los Angeles - Tujunga",452,1625,1585,14,50,41,27810
"199","Los Angeles - University Hills",50,1458,1442,1,29,19,3429
"200","Los Angeles - University Park",956,3482,3907,19,69,125,27456
"201","Los Angeles - Valley Glen",561,1869,1811,21,70,73,30016
"202","Los Angeles - Valley Village",471,1905,1869,25,101,85,24720
"203","Los Angeles - Van Nuys",2721,2920,2935,74,79,99,93194
"204","Los Angeles - Venice",266,785,1002,3,9,9,33885
"205","Los Angeles - Vermont Knolls",686,3988,3936,13,76,93,17200
"206","Los Angeles - Vermont Square",317,4140,4106,3,39,36,7657
"207","Los Angeles - Vermont Vista",1798,4366,4462,24,58,87,41186
"208","Los Angeles - Vernon Central",2826,5435,5545,39,75,111,51998
"209","Los Angeles - Victoria Park",205,2441,2364,4,48,41,8399
"210","Los Angeles - View Heights",43,1164,1158,2,54,42,3694
"211","Los Angeles - Watts",1832,4293,4489,23,54,97,42674
"212","Los Angeles - Wellington Square",116,2360,2350,0,0,0,4915
"213","Los Angeles - West Adams",833,3015,2950,38,138,138,27630
"214","Los Angeles - West Hills",486,1199,1220,30,74,45,40545
"215","Los Angeles - West Los Angeles",474,1259,1254,16,43,44,37636
"216","Los Angeles - West Vernon",2167,4040,4033,45,84,108,53644
"217","Los Angeles - Westchester",395,765,721,15,29,26,51603
"218","Los Angeles - Westlake",2286,3851,3912,139,234,272,59355
"219","Los Angeles - Westwood",331,612,566,6,11,10,54109
"220","Los Angeles - Wholesale District",2265,6269,5448,26,72,90,36129
"221","Los Angeles - Wilmington",1663,2944,2939,15,27,37,56487
"222","Los Angeles - Wilshire Center",1053,2099,2042,33,66,65,50170
"223","Los Angeles - Winnetka",1140,2201,2108,17,33,31,51786
"224","Los Angeles - Woodland Hills",820,1205,1192,29,43,27,68055
"225","Unincorporated - Acton",64,803,882,2,25,18,7971
"226","Unincorporated - Agua Dulce",25,601,648,0,0,0,4158
"227","Unincorporated - Altadena",647,1483,1534,13,30,23,43620
"228","Unincorporated - Anaverde",13,862,1013,0,0,0,1508
"229","Unincorporated - Angeles National Forest",5,402,411,0,0,0,1245
"230","Unincorporated - Arcadia",84,1052,1074,3,38,26,7981
"231","Unincorporated - Athens Village",215,4390,4428,10,204,209,4897
"232","Unincorporated - Athens-Westmont",1448,3412,3431,25,59,64,42442
"233","Unincorporated - Avocado Heights",267,3941,3887,2,30,34,6775
"234","Unincorporated - Azusa",459,2883,2794,3,19,26,15923
"235","Unincorporated - Bassett",599,4043,3990,9,61,63,14817
"236","Unincorporated - Bouquet Canyon",6,559,800,1,93,82,1073
"237","Unincorporated - Bradbury",4,3704,303,1,926,255,108
"238","Unincorporated - Canyon Country",118,1527,1607,0,0,0,7728
"239","Unincorporated - Castaic",1911,7028,6417,4,15,14,27191
"240","Unincorporated - Cerritos",16,2726,2763,0,0,0,587
"241","Unincorporated - Claremont",22,3134,4106,1,142,73,702
"242","Unincorporated - Covina",399,2372,2283,6,36,33,16819
"243","Unincorporated - Covina (Charter Oak)",286,2176,2166,1,8,10,13144
"244","Unincorporated - Del Aire",71,1616,1597,2,46,44,4393
"245","Unincorporated - Del Rey",3,943,1312,0,0,0,318
"246","Unincorporated - Del Sur",11,455,527,1,41,20,2415
"247","Unincorporated - Desert View Highlands",44,1765,1651,1,40,24,2493
"248","Unincorporated - Duarte",131,2958,2932,4,90,114,4428
"249","Unincorporated - East Covina",4,1216,1379,0,0,0,329
"250","Unincorporated - East La Mirada",97,1833,1820,0,0,0,5292
"251","Unincorporated - East Los Angeles",5858,4676,4680,95,76,88,125269
"252","Unincorporated - East Pasadena",76,1187,1129,1,16,9,6403
"253","Unincorporated - East Rancho Dominguez",626,4089,4070,13,85,103,15308
"254","Unincorporated - East Whittier",78,1470,1445,0,0,0,5306
"255","Unincorporated - El Camino Village",143,1627,1625,3,34,24,8791
"256","Unincorporated - El Monte",6,4138,6520,0,0,0,145
"257","Unincorporated - Elizabeth Lake",6,361,406,0,0,0,1661
"258","Unincorporated - Florence-Firestone",3219,4975,5034,43,66,84,64705
"259","Unincorporated - Glendora",12,1818,2094,0,0,0,660
"260","Unincorporated - Hacienda Heights",956,1709,1695,14,25,16,55926
"261","Unincorporated - Hawthorne",58,2307,2203,0,0,0,2514
"262","Unincorporated - Hi Vista",7,638,665,0,0,0,1098
"263","Unincorporated - Kagel/Lopez Canyons",32,2266,2735,1,71,113,1412
"264","Unincorporated - La Crescenta-Montrose",174,879,919,2,10,5,19801
"265","Unincorporated - La Rambla",77,3711,3016,12,578,381,2075
"266","Unincorporated - La Verne",33,1618,1976,0,0,0,2040
"267","Unincorporated - Ladera Heights",89,1259,1213,3,42,19,7071
"268","Unincorporated - Lake Hughes",2,299,328,0,0,0,668
"269","Unincorporated - Lake Los Angeles",198,1524,1516,4,31,44,12994
"270","Unincorporated - Lake Manor",24,1461,1547,0,0,0,1643
"271","Unincorporated - Lennox",662,2937,2922,6,27,49,22542
"272","Unincorporated - Leona Valley",17,971,999,0,0,0,1751
"273","Unincorporated - Littlerock",79,1965,2036,0,0,0,4021
"274","Unincorporated - Littlerock/Juniper Hills",8,617,852,0,0,0,1297
"275","Unincorporated - Littlerock/Pearblossom",80,2242,2336,0,0,0,3569
"276","Unincorporated - Llano",3,342,355,0,0,0,877
"277","Unincorporated - Marina del Rey",67,712,546,1,11,13,9411
"278","Unincorporated - Monrovia",77,1984,2066,0,0,0,3881
"279","Unincorporated - Newhall",6,2727,2283,0,0,0,220
"280","Unincorporated - North Lancaster",18,1502,1967,0,0,0,1198
"281","Unincorporated - North Whittier",190,2273,2245,10,120,104,8360
"282","Unincorporated - Northeast San Gabriel",319,1327,1372,8,33,29,24036
"283","Unincorporated - Palmdale",21,2494,2719,0,0,0,842
"284","Unincorporated - Palos Verdes Peninsula",3,483,729,0,0,0,621
"285","Unincorporated - Pearblossom/Llano",21,1074,1002,1,51,20,1956
"286","Unincorporated - Pellissier Village",25,4039,3983,0,0,0,619
"287","Unincorporated - Pomona",15,774,1941,1,52,86,1938
"288","Unincorporated - Quartz Hill",154,1193,1121,11,85,63,12906
"289","Unincorporated - Rancho Dominguez",70,2631,2578,2,75,35,2661
"290","Unincorporated - Roosevelt",8,859,819,0,0,0,931
"291","Unincorporated - Rosewood",25,1944,2307,0,0,0,1286
"292","Unincorporated - Rosewood/East Gardena",14,1174,1074,1,84,40,1193
"293","Unincorporated - Rosewood/West Rancho Dominguez",89,2648,2699,0,0,0,3361
"294","Unincorporated - Rowland Heights",620,1215,1225,11,22,15,51022
"295","Unincorporated - San Jose Hills",653,3229,3196,9,45,46,20221
"296","Unincorporated - San Pasqual",10,491,545,0,0,0,2035
"297","Unincorporated - Sand Canyon",6,1948,5185,0,0,0,308
"298","Unincorporated - Santa Catalina Island",26,9738,12163,0,0,0,267
"299","Unincorporated - Santa Monica Mountains",105,564,643,1,5,2,18621
"300","Unincorporated - Saugus",27,17419,16738,0,0,0,155
"301","Unincorporated - Saugus/Canyon Country",1,281,538,0,0,0,356
"302","Unincorporated - South Antelope Valley",2,440,382,0,0,0,455
"303","Unincorporated - South El Monte",78,4345,4171,0,0,0,1795
"304","Unincorporated - South San Gabriel",168,1899,1822,5,57,40,8848
"305","Unincorporated - South Whittier",1623,2741,2664,29,49,53,59222
"306","Unincorporated - Southeast Antelope Valley",13,1665,1845,0,0,0,781
"307","Unincorporated - Stevenson Ranch",155,739,735,2,10,12,20966
"308","Unincorporated - Sun Village",156,2584,2705,2,33,36,6036
"309","Unincorporated - Sunrise Village",52,4012,4380,0,0,0,1296
"310","Unincorporated - Twin Lakes/Oat Mountain",11,663,671,1,60,78,1658
"311","Unincorporated - Val Verde",64,1934,1816,1,30,50,3309
"312","Unincorporated - Valencia",41,1335,2254,1,33,258,3072
"313","Unincorporated - Valinda",712,3047,2980,7,30,32,23371
"314","Unincorporated - View Park/Windsor Hills",136,1169,1217,3,26,10,11635
"315","Unincorporated - Walnut Park",664,4113,4077,11,68,79,16143
"316","Unincorporated - West Antelope Valley",5,331,322,0,0,0,1511
"317","Unincorporated - West Carson",405,1834,1636,34,154,92,22086
"318","Unincorporated - West LA",43,4517,4324,2,210,67,952
"319","Unincorporated - West Puente Valley",353,3589,3521,3,30,30,9835
"320","Unincorporated - West Rancho Dominguez",21,1545,1484,3,221,184,1359
"321","Unincorporated - West Whittier/Los Nietos",910,3380,3310,14,52,52,26925
"322","Unincorporated - Westfield/Academy Hills",7,538,746,0,0,0,1300
"323","Unincorporated - Westhills",9,1073,1596,0,0,0,839
"324","Unincorporated - White Fence Farms",42,1140,1226,0,0,0,3683
"325","Unincorporated - Whittier",60,1586,1524,1,26,11,3784
"326","Unincorporated - Willowbrook",1376,3941,3996,18,52,60,34913
"327","Unincorporated - Wiseburn",115,1908,1792,1,17,21,6027
"328","Unincorporated - East Lancaster",0,0,0,0,0,0,114
"329","Unincorporated - Franklin Canyon",0,0,0,0,0,0,12
"330","Unincorporated - Harbor Gateway",0,0,0,0,0,0,1
"331","Unincorporated - La Habra Heights",0,0,0,0,0,0,676
"332","Unincorporated - Placerita Canyon",0,0,0,0,0,0,460
"333","Unincorporated - Whittier Narrows",0,0,0,0,0,0,12
